T,TM,Tm,SLP,H,VV,V,VM,PM2.5
22.2,29.4,14,1013.8,56,4.3,5,14.8,264.9166666666667
24.7,32.8,15.9,1013.5,57,4.3,4.4,11.1,164.75
26.6,33,17.9,1011.6,45,4.7,2,7.6,143.91666666666666
30.2,36.7,21.3,1009.4,29,5.3,6.9,14.8,130.33333333333334
29.9,37,20,1011.3,39,5.5,5.6,14.8,75.75
30.1,37,18.5,1007.8,46,4.3,6.1,18.3,48.208333333333336
29.7,36,20.3,1010,56,4.8,3.9,14.8,67.79166666666667
31.9,37,26.1,1004.5,55,5.1,15.7,22.2,80.54166666666667
32.4,38,26.5,1001.3,55,5.5,11.7,22.2,78.54166666666667
28.8,35.7,23.7,1005.3,65,5,14.4,22.2,146.20833333333334
26.7,30.7,23.3,1002.6,81,5,19.4,25.9,160.375
26.2,29.4,23.3,1002.7,76,4,7.8,14.8,99.375
28.3,33.2,23.9,1005,69,4.5,13.7,25.9,31.458333333333332
26.1,29,22.4,1001.2,87,5,14.1,22.2,22.333333333333332
23.3,27.2,20.5,1003,93,4,15.7,22.2,64.875
26.8,31.2,22.3,1004.4,80,5,12.8,22.2,33.5
25.1,29.6,20.9,1004.1,90,4.8,12.6,22.2,38.416666666666664
26.3,31.2,21.5,1008,81,5.1,10.4,22.2,24.291666666666668
28.6,33,22.7,1006.7,74,4.8,4.1,14.8,58.125
27.6,31.4,21.6,1003.3,75,4.5,5.2,9.4,56.916666666666664
27.1,32,16.3,1012.7,50,5.1,6.9,11.1,232.33333333333334
28.4,33.5,20.9,1013.1,63,5.3,6.1,66.5,232.54166666666666
28.5,33.4,20.9,1012.6,59,5.3,6.3,14.8,185.5
24.9,33.2,14.8,1011.5,48,4.2,4.6,13,166.875
26.4,32,20.9,1011.2,70,3.9,6.7,9.4,200.33333333333334
20.8,25,14.5,1016.8,78,4.7,5.9,11.1,349.2916666666667
23.3,28,14.9,1014,71,4.5,3,9.4,310.25
